first_author,institution,full_affiliation
 Elizabeth Landzberg,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Morta Lapkus,Beaumont Health/Oakland University William Beaumont School of Medicine,"Beaumont Health/Oakland University William Beaumont School of Medicine, Royal Oak, MI"
 Maya Krasnow,The University of Chicago,"The University of Chicago, Chicago, IL"
 Maya Rhine,Chicago,"Chicago, IL"
 Mara Leimanis,Helen DeVos Children’s Hospital,"Helen DeVos Children’s Hospital, Grand Rapids, MI"
 Megan Land,Emory University,"Emory University, Atlanta, GA"
 Leya Saju,Rainbow Babies & Children’s Hospital,"Rainbow Babies & Children’s Hospital, Cleveland, OH"
 Lara Nelson,Children’s Hospital Los Angeles,"Children’s Hospital Los Angeles, Los Angeles, CA"
 Genevieve Du Pont-Thibodeau,Sainte-Justine University Hospital,"Sainte-Justine University Hospital, Montreal, Canada"
 Walter Miller,Seminole,"Seminole, FL"
 Xinggang Liu,Baltimore,"Baltimore, MD"
 Lokesh Dayal,Sloan-Kettering Cancer Center,"Sloan-Kettering Cancer Center, New York, NY"
 Anica Law,Beth Israel Deaconess Medical Center,"Beth Israel Deaconess Medical Center, Cambridge, MA"
 Justin Hatchimonji,Philadelphia,"Philadelphia, PA"
 Rodrigo Biondi,Brasília,Brasília
 Arya Mariam Roy,University of Arkansas for Medical Sciences,"University of Arkansas for Medical Sciences, Little Rock, AR"
 Tanya Marvi,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Camila Quinde Villacrs,Universidad Catolica Santiago de Guayaquil,"Universidad Catolica Santiago de Guayaquil, Guayaquil, Ecuador"
 David Margraf,University of Minnesota,"University of Minnesota, College of Pharmacy, Experimental and Clinical Pharmacology, Minneapolis, MN"
 John Cuenca,Universidad Catolica de Santiago de Guayaquil,"Universidad Catolica de Santiago de Guayaquil, Guayaquil, Ecuador"
 Cosmo Fowler,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Chandra Kodavanti,N/A,N/A
 Farid Sadaka,Mercy Hospital,"Mercy Hospital, Saint Louis, MO"
 David Bissing,University of Chicago Hospitals,"University of Chicago Hospitals, Chicago, IL"
 Naoya Yanagi,Rehabilitation Sciences,"Rehabilitation Sciences, Kitasato University, Graduate School of Medical Sciences, Sagamihara, Kanagawa"
 Kyle Checchi,Mercy Hospital,"Mercy Hospital, Scripps Health, San Diego, CA"
 Takanobu Otaguro,Nippon Medical School Chiba Hokusoh Hospital,"Nippon Medical School Chiba Hokusoh Hospital, inzai, Chiba"
 Luke Andrea,Montefiore Medical Center,"Montefiore Medical Center, Bronx, NY"
 Syed Mahmood,Wake Forest Baptist Medical Center,"Wake Forest Baptist Medical Center, Winston-Salem, NC"
 Muhammad Sameed,University of Maryland Medical Center Midtown,"University of Maryland Medical Center Midtown, Balitmore, MD"
 Sophia Pathan,Morristown Medical Center,"Morristown Medical Center, Morristown, NJ"
 Nathan Smischney,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Itai Pessach,Sheba Medical Center,"Sheba Medical Center, Tel-Hashomer, Israel"
 Cheng Zhou,Case Western Reserve University,"Case Western Reserve University, MetroHealth Medical Center, Cleveland, OH"
 Craig Jabaley,Emory University,"Emory University, Atlanta, GA"
 John Cuenca,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Peyton Martin,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 SARANYA RAJASEKAR,Odessa,"Odessa, TX"
 Kiran Gudivada,St. Johns Medical College Hospital,"St. Johns Medical College Hospital, Bangalore, India"
 Elizabeth Viglianti,University of Michigan,"University of Michigan, Ann Arbor, MI"
 Christopher Hughes,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Anirban Bhattacharyya,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Chandra Kodavanti,N/A,N/A
 Donna Armaignac,Baptist Health South Florida,"Baptist Health South Florida, Fort Lauderdale, FL"
 Jee Hwan Ahn,Asan Medical Center,"Asan Medical Center, Seoul, South Korea"
 John Hoang,Louisiana State University Health Science Center,"Louisiana State University Health Science Center, New Orleans, LA"
 Laura Thompson,Ottawa Hospital Research Institute,"Ottawa Hospital Research Institute, Ottawa, ON"
 Theodore Quan,The George Washington University School of Medicine and Health Sciences,"The George Washington University School of Medicine and Health Sciences, Washington, DC"
 B Jason Brotherton,Kijabe Hospital,"Kijabe Hospital, Kijabe, Kenya"
 Jordan Dubique,MD - Emory University Department of Internal Medicine,"MD - Emory University Department of Internal Medicine, ATLANTA, GA"
 Travis Murphy,University of Florida,"University of Florida, Gainesville, FL"
 Sam Parnia,New York,"New York, NY"
 Gaurav Rajashekar,Odessa,"Odessa, TX"
 Jeong Woo Lee,Asan Medical Center,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, South Korea"
 Jee Young You,Jacobi Medical Center,"Jacobi Medical Center, Bronx, NY"
 Mukund Ramkumar,Stanford University,"Stanford University, Stanford, CA"
 Jenny Kingsley,University of Washington School of Medicine,"University of Washington School of Medicine, Department of Pediatrics, Division of Critical Care, Seattle, WA"
 Preeti John,Baltimore,"Baltimore, MD"
 Leslie Mataya,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, Pennsylvania"
 Justin Hatchimonji,University of Pennsylvania,"University of Pennsylvania, Philadelphia, PA"
 Gianna Lauren Casal,Yale New Haven Hospital,"Yale New Haven Hospital, New Haven, CT"
 Kathryn Driggers,Walter Reed National Military Medical Center,"Walter Reed National Military Medical Center, Bethesda, MD"
 Sydney Dishman,Georgetown University School of Medicine,"Georgetown University School of Medicine, Washington, DC"
 Eungon Song,Department of Emergency Medicine,"Department of Emergency Medicine, Seoul National University Hospital, Seoul, Korea"
 Gabriel Kreling,Hospital Universitario do Oeste do Parana,"Hospital Universitario do Oeste do Parana, Cascavel, Brazil"
 Musaab Ramsi,Sheikh Khalifa Medical City,"Sheikh Khalifa Medical City, Abu Dhabi"
 Mindy Dickerman,Nemours/Alfred I. DuPont Hospital for Children,"Nemours/Alfred I. DuPont Hospital for Children, Wilmington, DE"
 Kelly Lyons,University of Louisville,"University of Louisville, Louisville, KY"
 Rebecca Propper,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Anja Kathrin Jaehne,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Katherine Summers,Wake Forest Baptist Health,"Wake Forest Baptist Health, Winston-Salem, NC"
 Eunjeong Heo,Seoul National University Bundang Hospital,"Seoul National University Bundang Hospital, Seongnam-si, South Korea"
 Eunjeong Heo,Seoul National University Bundang Hospital,"Seoul National University Bundang Hospital, Seongnam-si, South Korea"
 Hala Omar,New York Presbyterian Queens/Weill Cornell Medicine,"New York Presbyterian Queens/Weill Cornell Medicine, NY, NY"
 Abdul Rana,Marshall University,"Marshall University, Huntington, WV"
 Guanqing Sun,Department of Anesthesiology,"Department of Anesthesiology, University of Nebraska Medical Center, Omaha, NE"
 Michelle Winchell,Strong Memorial Hospital of the University of Rochester,"Strong Memorial Hospital of the University of Rochester, Rochester, NY"
 Kazuyuki Miyamoto,Showa University,"Showa University, Yokohama City"
 Rafael Ramos,University of Pittsburgh School of Medicine,"University of Pittsburgh School of Medicine, Pittsburgh, PA"
 Jesse Harris,Houston Methodist Hospital,"Houston Methodist Hospital, Houston, TX"
 Mark Shlomovich,Far Rockaway,"Far Rockaway, NY"
 Michele Luglio,ICR-HCFMUSP,"ICR-HCFMUSP, Sao Paulo, SP"
 Justin Azar,Dept. of Critical Care Medicine,"Dept. of Critical Care Medicine, UPMC; UPMC Children’s Hospital of Pittsburgh; Safar Center, Pittsburgh, PA"
 Paola Hong-Zhu,Baylor College of Medicine/Texas Children’s Hospital,"Baylor College of Medicine/Texas Children’s Hospital, Houston, TX"
 Andrea Marroquín,Baylor College of Medicine/Texas Children’s Hospital,"Baylor College of Medicine/Texas Children’s Hospital, Houston, TX"
 Christina Smith,Loma Linda University Children’s Hospital,"Loma Linda University Children’s Hospital, Loma Linda, CA"
 Holly Gillis,Columbus,"Columbus, OH"
 Sidharth Mahapatra,Children’s Hospital and Medical Center,"Children’s Hospital and Medical Center, Omaha, NE"
 Theodore Pei,Rainbow Babies & Children’s Hospital,"Rainbow Babies & Children’s Hospital, Cleveland, OH"
 Anthony Sochet,Johns Hopkins All Children’s Hospital,"Johns Hopkins All Children’s Hospital, Saint Petersburg, FL"
 Amarilis Martin,Detroit,"Detroit, MI"
 Shannon Faulkinberry,Gainesville,"Gainesville, FL"
 Niranjan Vijayakumar,University of Iowa Children’s Hospital,"University of Iowa Children’s Hospital, Iowa City, IA"
 Nisha Agarwal,Jackson Memorial Hospital/University of Miami,"Jackson Memorial Hospital/University of Miami, MIAMI, FL"
 Scott Studeny,Cleveland Clinic Children’s,"Cleveland Clinic Children’s, Cleveland, OH"
 Daniel Torres,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Arunima Bera,Los Angeles,"Los Angeles, CA"
 Victoria Oyewole,Detroit Receiving Hospital,"Detroit Receiving Hospital, Detroit, MI"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi"
 Ritesh Korumilli,University of Buffalo,"University of Buffalo, Buffalo, NY"
 Jacob Anderson,SUNY Upstate Medical University,"SUNY Upstate Medical University, Syracuse, NY"
 Matthew Molenaar,Case Western Reserve University School of Medicine,"Case Western Reserve University School of Medicine, Cleveland, OH"
 Gavin Hall,Northwestern University,"Northwestern University, Feinberg School of Medicine, Chicago, IL"
 James Croft,Naval Medical Center Portsmouth,"Naval Medical Center Portsmouth, Portsmouth, VA"
 Aneesah Garrett,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Danielle Aronowitz,Long Island Jewish Medical Ctr,"Long Island Jewish Medical Ctr, Great Neck, NY"
 Ella Illuzzi,Mount Sinai Hospital,"Mount Sinai Hospital, New York, NY"
 Khubaib Gondal,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,"Donald and Barbara Zucker School of Medicine at Hofstra/Northwell, Huntington Station, NY"
 Eugenia Lee,Miami,"Miami, FL"
 Brett Baney,Winchester Medical Center,"Winchester Medical Center, Winchester, VA"
 Kenneth Tran,Gainesville,"Gainesville, FL"
 Christopher Wood,Baylor University Medical Center,"Baylor University Medical Center, Dallas, TX"
 Guneet Ahluwalia,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Jennifer Marsh,Tampa General Hospital,"Tampa General Hospital, Tampa, FL"
 Iaswarya Ganapathiraju,N/A,"N/A, Des Moines, IA"
 Stephanie Bass,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Alexandra Adler,Beth Israel Deaconess Medical Center,"Beth Israel Deaconess Medical Center, Boston, MA"
 Davit Shahmanyan,Virginia Tech Carilion School of Medicine,"Virginia Tech Carilion School of Medicine, Roanoke, VA"
 Syed Mahmood,Wake Forest Baptist Medical Center,"Wake Forest Baptist Medical Center, Winston-Salem, NC"
 Eric Czajkowski,Lake In The Hills,"Lake In The Hills, IL"
 Shino Katsuki,Showa University Fujigaoka Hospital,"Showa University Fujigaoka Hospital, Yokohama, Japan"
 Mary McIntyre,Philadelphia College of Pharmacy,"Philadelphia College of Pharmacy, Philadelphia, PA"
 William Lao,Duke University,"Duke University, Durham, NC"
 Christa Schorr,Cooper Hospital University Medical Center,"Cooper Hospital University Medical Center, Camden, NJ"
 Christy Barrick,Jackson,"Jackson, MS"
 Sonia Wu,McGill University,"McGill University, Faculty of Medicine, Montreal, QC, Canada"
 Amir Kamel,University of Florida Health,"University of Florida Health, Gainesville, FL"
 John Sadeghi,Manhasset,"Manhasset, NY"
 Kristina Finnell,AdventHealth East Orlando,"AdventHealth East Orlando, Orlando, FL"
 Masayasu Horibe,Keio University School of Medicine,"Keio University School of Medicine, Shinjuku-ku, Japan"
 Annette Bourgault,University of Central Florida,"University of Central Florida, Orlando, FL"
 Andrew MacDonald,University of Alberta,"University of Alberta, Edmonton, Alberta"
 Ifrah Butt,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, FL"
 Aparna Tiwari,Maimonides Medical Center,"Maimonides Medical Center, Brooklyn, NY"
 Faraz Afridi,University of Florida,"University of Florida, Gainesville, FL"
 Praful Tewari,Perrysburg,"Perrysburg, OH"
 Tanya Belle,Detroit,"Detroit, MI"
 Katherine Doane,Baylor College of Medicine,"Baylor College of Medicine, Houston, TX"
 Katie Clouthier,University of North Carolina,"University of North Carolina, Chapel Hill, NC"
 Madhuradhar Chegondi,Stead Family Children’s Hospital,"Stead Family Children’s Hospital, University of Iowa, Iowa City, IA"
 Michael Mowrer,University of Texas Southwestern,"University of Texas Southwestern, Dallas, TX"
 Niveditha Balakumar,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Coral Gables, FL"
 Christine Koshel,John R. Oishei Children’s Hospital,"John R. Oishei Children’s Hospital, University at Buffalo, Buffalo, NY"
 Kelley Groves,Nationwide Children’s Hospital at Ohio State University,"Nationwide Children’s Hospital at Ohio State University, Columbus, OH"
 Maria Alejandra Gabela Sanchez,University of Kentucky,"University of Kentucky, Lexington, KY"
 Robert Kavanagh,Penn State College of Medicine,"Penn State College of Medicine, Hershey, PA"
 James Barger,University of Florida,"University of Florida, Gainesville, FL"
 Louisa Sethi,Nationwide Children’s Hospital,"Nationwide Children’s Hospital, Columbus, OH"
 Kimberly Burkiewicz,N/A,N/A
 Michael Smaglick,Baylor College of Medicine/Texas Children’s Hospital,"Baylor College of Medicine/Texas Children’s Hospital, Houston, TX"
 Erin Barker,Rochester,"Rochester, NY"
 Harsh Kothari,University of Iowa Hospital and Clinics,"University of Iowa Hospital and Clinics, Iowa City, IA"
 Michelle Perez,Children’s Hospital at Montefiore,"Children’s Hospital at Montefiore, Bronx, NY"
 Alyaa Al Ali,Children’s Hospital,"Children’s Hospital, London Health Sciences Centre, London Ontario, Canada"
 Alicia Lew,University of South Florida,"University of South Florida, Tampa, FL"
 Shefali Aggarwal,Advocate Children’s Hospital,"Advocate Children’s Hospital, Park Ridge, IL"
 Sean Mertz,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Matthew Morrisette,University of Virginia Health System,"University of Virginia Health System, Charlottesville, VA"
 Nicholas Peters,Suburban Hospital - Johns Hopkins Medicine,"Suburban Hospital - Johns Hopkins Medicine, Bethesda, MD"
 Scott Chapman,University of Minnesota College of Pharmacy Experimental and Clinical Pharmacology,"University of Minnesota College of Pharmacy Experimental and Clinical Pharmacology, Minneapolis, MN"
 Arya Mariam Roy,University of Arkansas for Medical Sciences,"University of Arkansas for Medical Sciences, Little Rock, AR"
 Saeed Arabi,College of Medicine,"College of Medicine, King Saud bin Abdulaziz University for Health Sciences, Riyadh"
 Justina Girgis,Beth Israel Deaconess Medical Cetner,"Beth Israel Deaconess Medical Cetner, Boston, MA"
 Carolyn Magee,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Goyal Umadat,Mayo Clinic Jacksonville,"Mayo Clinic Jacksonville, Jacksonville, FL"
 Zeid Kalarikkal,University of Nebraska Medical Center,"University of Nebraska Medical Center, Omaha, NE"
 Mehboob Rehan,Eastern Idaho Regional Medical Center,"Eastern Idaho Regional Medical Center, Idaho Falls, ID"
 Gerald Lee Marin Garcia,VA Caribbean Healthcare System,"VA Caribbean Healthcare System, San Juan, PR"
 Gino Chesini,N/A,N/A
 Juan Pablo Domecq Garces,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Kristyn Lewis,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Navneet Kaur,Florida Atlantic University Charles E. Schmidt College of Medicine,"Florida Atlantic University Charles E. Schmidt College of Medicine, Boca Raton, FL"
 Kyle Thomas,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Gordon Lindberg,University of Colorado School of Medicine,"University of Colorado School of Medicine, Roanoke, VA"
 Amanda McKinney,University of Tennessee Medical Center,"University of Tennessee Medical Center, Knoxville, TN"
 H Andrew Wilsey,Binghamton School of Pharmacy,"Binghamton School of Pharmacy, Binghamton, NY"
 Brittany Verkerk,New York Presbyterian Allen Hospital,"New York Presbyterian Allen Hospital, New York, NY"
 Christopher Coriasso,Mercy Hospital,"Mercy Hospital, St. Louis, MO"
 Arzo Hamidi,Annandale,"Annandale, VA"
 Awan Rahman,St. Luke’s University Health Network,"St. Luke’s University Health Network, Bethlehem, PA"
 Sari Umekawa,UCSF Fresno,"UCSF Fresno, Fresno, CA"
 Leisy Stroud,Cleveland,"Cleveland, Ohio"
 Victoria Stevens,University of Colorado Skaggs School of Pharmacy,"University of Colorado Skaggs School of Pharmacy, Denver, CO"
 Heather Personett,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Juliana Heatter,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Ilanit Zada,Brooklyn,"Brooklyn, NY"
 Jacob Vine,Tel Aviv Sourasky Medical Center,"Tel Aviv Sourasky Medical Center, Tel Aviv, Israel"
 Caitlin Cundiff,Emory Saint Joseph’s Hospital of Atlanta,"Emory Saint Joseph’s Hospital of Atlanta, Atlanta, GA"
 Rakshya Sharma,University of South Dakota Sanford School of Medicine,"University of South Dakota Sanford School of Medicine, Sioux Falls, SD"
 Celeste Wise,Cleveland Clinic Euclid Hospital,"Cleveland Clinic Euclid Hospital, Euclid, OH"
 Mariam Saeed,Bronx,"Bronx, NY"
 Matthew Smyke,Ohio State University,"Ohio State University, Columbus, OH"
 Adriel Fajilan,Baylor College of Medicine,"Baylor College of Medicine, Department of Pulmonary and Critical Care Medicine, Houston, TX"
 Katherine Bline,Nationwide Children’s Hospital,"Nationwide Children’s Hospital, Columbus, OH"
 Mitchell Luangrath,University of Iowa Hospital and Clinics,"University of Iowa Hospital and Clinics, Iowa City, IA"
 Camille Jutras,Sainte-Justine Hospital,"Sainte-Justine Hospital, University of Montreal, Montreal, Canada"
 Britton Preroff,Oishei Children’s Hospital,"Oishei Children’s Hospital, Buffalo, NY"
 Brent Stanfield,Duke University,"Duke University, Durham, NC"
 Nirmala Manjappachar,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Suhayb Ranjha,Southern Illinois University School of Medicine,"Southern Illinois University School of Medicine, Springfield, IL"
 Ana Berbel Caban,Mount Sinai Hospital,"Mount Sinai Hospital, New York, NY"
 Duo Jin,Department of Internal Medicine,"Department of Internal Medicine, Cook County Health, Chicago, IL"
 Melissa Walberg,University of Kentucky,"University of Kentucky, Lexington, KY"
 Jennifer Bradley,Weil Institute of Emergency and Critical Care Research at VCU,"Weil Institute of Emergency and Critical Care Research at VCU, Richmond, VA"
 Matthew Li,University of Maryland Medical Center,"University of Maryland Medical Center, Baltimore, MD"
 Stephen McNulty,Western Reserve Hospital,"Western Reserve Hospital, Cuyahoga Falls, OH"
 Okolo Chukwuka,Montefiore Medical Center,"Montefiore Medical Center, Bronx, NY"
 Pablo Echeverria,HSHS St. Elizabeth’s Hospital-Vituity,"HSHS St. Elizabeth’s Hospital-Vituity, O’Fallon, IL"
 Ali Mrad,Henry Ford Health System,"Henry Ford Health System, Shelby Township, MI"
 Emily Matthews,Advocate Aurora Health,"Advocate Aurora Health, Milwaukee, WI"
 Guadalupe Aguirre Avalos,Universidad de Guadalajara,"Universidad de Guadalajara, Hospital Civil de Guadalajara, Guadalajara, Jalisco"
 Pablo Echeverria,HSHS St. Elizabeth’s Hospital-Vituity,"HSHS St. Elizabeth’s Hospital-Vituity, O’Fallon, IL"
 Kelsey Beatrous,University of Mississippi Medical Center,"University of Mississippi Medical Center, Jackson, MS"
 Naina Sawal,Syracuse,"Syracuse, NY"
 Vijeta Pamudurthy,Riverside Medical Center,"Riverside Medical Center, Bolingbrook, IL"
 Sridevi Rajeeve,New York,"New York, NY"
 Yiming Li,Wuhan,"Wuhan, AA, China"
 Ravi Karan Patti,Maimonides Medical Center,"Maimonides Medical Center, Brooklyn, New York"
 Qin XIE,Wuhan University Zhongnan Hospital,"Wuhan University Zhongnan Hospital, Wuhan, China"
 Lauren Andrews,University of Illinois at Chicago College of Pharmacy,"University of Illinois at Chicago College of Pharmacy, Chicago, IL"
 Stephen Turner,Regional One Health,"Regional One Health, Memphis, TN"
 Attiya Khan,Rush University Medical Center,"Rush University Medical Center, Chicago, IL"
 Jad Sargi,The Brooklyn Hospital Center,"The Brooklyn Hospital Center, Brooklyn, NY"
 Dileep Kumar,Bronx,"Bronx, NY"
 Mousa Thalji,The Wright Center for Graduate Medical Education,"The Wright Center for Graduate Medical Education, Scranton, PA"
 Daniel Freedberg,Columbia University,"Columbia University, New York, NY"
 BrookeAnne Magrum,The Wexner Medical Center at The Ohio State University,"The Wexner Medical Center at The Ohio State University, Columbus, OH"
 Amanda Holyk,Mount Nittany Medical Center,"Mount Nittany Medical Center, State College, PA"
 Dee Shortridge,JMI Laboratories,"JMI Laboratories, North Liberty, IA"
 Lan Bui,Samford University McWhorter School of Pharmacy,"Samford University McWhorter School of Pharmacy, Birmingham, AL"
 Christina Tran,Methodist Dallas Medical Center,"Methodist Dallas Medical Center, Dallas, TX"
 Jessica Whitten,Indianapolis,"Indianapolis, IN"
 Emily Bowers,Memorial University Medical Center,"Memorial University Medical Center, Savannah, GA"
 Rebecca Toor,Broward Health Medical Center,"Broward Health Medical Center, Fort Lauderdale, FL"
 David Volles,PharmD,"PharmD, BCCCP, Earlysville, VA"
 Marwa Amer,King Faisal Specialist Hospital and Research Center,"King Faisal Specialist Hospital and Research Center, Riyadh, Saudi Arabia"
 Ting Feng,Philips Research,"Philips Research, Cambridge, MA"
 Andrew DeRyke,MRL Merck & Co.,"MRL Merck & Co., Inc., Kenilworth, NJ"
 Zhenmei Zhang,Rochester,"Rochester, MN"
 Lokesh Dayal,Critical Care Fellow,"Critical Care Fellow, New York, NY"
 Raiko Diaz,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, FL"
 Alba Rivera Diaz,Damas Hospital,"Damas Hospital, Department of Internal Medicine, Ponce, PR"
 Andrew Shorr,Georgetown University,"Georgetown University, Washington, DC"
 Michael Fingerhood,Elmhurst Hospital Center,"Elmhurst Hospital Center, Mount Sinai School of Medicine, Elmhurst, NY"
 Wasif Shamsi,Kalamazoo,"Kalamazoo, MI"
 Tiffany Hopkins,Barnes Jewish Hospital,"Barnes Jewish Hospital, Saint Louis, MO"
 Shireen George,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington, DC"
 Karen Lutrick,University of Arizona,"University of Arizona, Tucson, AZ"
 Ashreen Kaur,Fortis Hospital,"Fortis Hospital, Mohali, India"
 Bing Chen,Department of Medicine,"Department of Medicine, Mount Sinai West and St Luke’s, New York, NY"
 Daniel Yee,Providence,"Providence, RI"
 Sarah Chalmers,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Rod Shinozaki,Mattel Children’s Hospital,"Mattel Children’s Hospital, UCLA, Los Angeles, CA"
 Mercy Toma,Sidney Kimmel Medical College at Thomas Jefferson University,Sidney Kimmel Medical College at Thomas Jefferson University
 Ilanit Zada,Brooklyn,"Brooklyn, NY"
 Caroline Howe,Orlando Regional Medical Center,"Orlando Regional Medical Center, Orlando, FL"
 Tiffany Lang,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Stephanie Barre,Medical University of South Carolina,"Medical University of South Carolina, Charleston, SC"
 Annie Wang,Loma Linda University Medical Center,"Loma Linda University Medical Center, Loma Linda, CA"
 Julia Lantry,Summa Health System,"Summa Health System, Akron, OH"
 Nirav Haribhakti,Robert Wood Johnson University Hospital,"Robert Wood Johnson University Hospital, New Brunswick, NJ"
 Danielle Aronowitz,Long Island Jewish Medical Ctr,"Long Island Jewish Medical Ctr, New Hyde Park, NY"
 Dalton Kuebel,Indiana University Hospital,"Indiana University Hospital, Indianapolis, IN"
 Jennifer Voong,SSM Health St. Louis University Hospital,"SSM Health St. Louis University Hospital, St. Louis, MO"
 Patricia Almeida,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, FL"
 Lindsey Sellers,AU Medical Center,"AU Medical Center, Augusta, GA"
 Julia Beatty,Ohio State University Wexner Medical Center,"Ohio State University Wexner Medical Center, Plain City, OH"
 Kevin Buell,Vanderbilt University Medical Center,"Vanderbilt University Medical Center, Nashville, TN"
 Maarij Baig,Inspira Medical Center,"Inspira Medical Center, Vineland, NJ"
 Blake Martin,Children’s Hospital of Colorado,"Children’s Hospital of Colorado, Aurora, CO"
 Lesly Jurado,Wilmington,"Wilmington, NC"
 Usha Deonarine,Aventura Hospital and Medical Centre,"Aventura Hospital and Medical Centre, Aventura, FL"
 Casey Carr,Johns Hopkins University/University of Florida Shands,"Johns Hopkins University/University of Florida Shands, Gainesville, FL"
 Raed Jabr,Kansas City,"Kansas City, KS"
 Simi Hurst,Oxford,"Oxford, NJ"
 Simi Hurst,Oxford,"Oxford, NJ"
 Maria Lucia Santos,Department of Pediatrics,"Department of Pediatrics, University of São Paulo, School of Medicine, São Paulo, Brazil"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi, Pakistan"
 Erin Platter,University of Virginia School of Medicine,"University of Virginia School of Medicine, Charlottesville, VA"
 Meghana Nadiger,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Keiko Tarquinio,Atlanta,"Atlanta, GA"
 Joshua Branstetter,Memphis,"Memphis, TN"
 Niveditha Balakumar,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Coral Gables, FL"
 Jonathan Pelletier,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Jeremy Prokop,Michigan State University,"Michigan State University, Grand Rapids, MI"
 Kathleen Chiotos,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Julianne Wilke,Rady Children’s Hospital - San Diego,"Rady Children’s Hospital - San Diego, San Diego, CA"
 Alyaa Al Ali,London Health Sciences Centre,"London Health Sciences Centre, London Ontario, Canada"
 Masayuki Otawara,Kyorin University,"Kyorin University, Tokyo, Japan"
 Jonathan Burgei,Fairlawn,"Fairlawn, OH"
 Sadegh Saleknezhad,IM-PGY3,"IM-PGY3, Columbus, MS"
 Megan Carroll,Department of Veteran Affairs,"Department of Veteran Affairs, Baltimore, MD"
 Marilyn Schallom,Barnes-Jewish Hosptial,"Barnes-Jewish Hosptial, Saint Louis, MO"
 Juliana Marin,Hospital Universitario Fundación Santa Fe de Bogotá,"Hospital Universitario Fundación Santa Fe de Bogotá, Bogota, Please Select"
 Brita Jensen,University of Utah Health,"University of Utah Health, Salt Lake City, Utah"
 Hagar Kassab,Jersey City,"Jersey City, NJ"
 Mariam Saeed,Bronx,"Bronx, NY"
 Shaurya Sharma,Maimonides Medical Center,"Maimonides Medical Center, Brooklyn, NY"
 Brendan Keleher,Vidant Medical Center/East Carolina University,"Vidant Medical Center/East Carolina University, Greenville, NC"
 Matthew Kirschen,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Wynnewood, PA"
 Matthew Kirschen,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Wynnewood, PA"
 Leslie Dervan,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Madiha Raees,Children’s Hospital of Pittsburgh,"Children’s Hospital of Pittsburgh, Pittsburgh, PA"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi, Pakistan"
